# IMU数据（从gnss-ins-sim转换）
# 坐标系: NED（北-东-地）
# timestamp gyro_x gyro_y gyro_z accel_x accel_y accel_z
# 单位: s, rad/s, rad/s, rad/s, m/s^2, m/s^2, m/s^2
35.730000 0.0078837875 -0.0049275702 -0.0067896990 4.3572854734 -2.5189589858 -8.8204221464
35.740000 0.0101282890 0.0064567023 -0.0206777428 4.2437478404 -2.5490810838 -8.9918508057
35.750000 -0.0070075598 -0.0235974942 -0.0075758583 4.3878931956 -2.5590445368 -8.8760921897
35.760000 0.0001786893 0.0060479897 -0.0195700161 4.3359215443 -2.4858452261 -8.8432487563
35.770000 0.0070753189 0.0038344718 -0.0133035328 4.3432163224 -2.4911059902 -8.8722616360
35.780000 0.0019241808 -0.0199086325 -0.0001403049 4.3597971089 -2.4757686028 -8.8843786924
35.790000 0.0020399562 0.0023359880 -0.0112931692 4.3234240546 -2.5568972596 -8.8608416432
35.800000 -0.0054278146 -0.0122596618 -0.0089302658 4.3141880067 -2.5167290270 -8.8772158651
35.810000 0.0098655690 -0.0091934498 -0.0000337583 4.3190964032 -2.5223372899 -8.9240242873
35.820000 0.0170671468 -0.0015957870 -0.0021171344 4.2446260812 -2.4620737767 -8.9233646914
35.830000 0.0106655567 -0.0056814315 -0.0188896207 4.3163994633 -2.5215897576 -8.8116448676
35.840000 0.0029655390 -0.0146463026 -0.0001789834 4.3137934634 -2.5586542495 -9.0126867503
35.850000 0.0052366376 -0.0006438080 -0.0155288175 4.3223539072 -2.5283325334 -8.9662460055
35.860000 0.0029677287 0.0028202835 0.0025950890 4.2668688974 -2.5123226576 -8.8010401215
35.870000 0.0092516683 -0.0050787740 -0.0007978169 4.2797462194 -2.5823654638 -8.8872515613
35.880000 0.0054632587 -0.0045534826 -0.0098591166 4.3519449752 -2.5083015541 -8.9987397257
35.890000 0.0100519018 -0.0106077707 0.0020309246 4.3204402765 -2.5584599905 -8.8185718117
35.900000 0.0049546825 0.0007406402 -0.0195474396 4.3531537671 -2.5260343632 -8.8241702472
35.910000 0.0080450683 -0.0048117028 -0.0079157857 4.3477933342 -2.4916637242 -8.8329061675
35.920000 0.0015808025 -0.0116893298 -0.0150015786 4.3086239135 -2.5662093783 -8.8713934965
35.930000 -0.0002995920 -0.0133185061 0.0020945729 4.2935482151 -2.5265928022 -8.9105717848
35.940000 0.0169501431 0.0000974371 0.0020681058 4.2922461885 -2.5225940181 -8.8231353399
35.950000 0.0078598969 0.0036663741 -0.0038462860 4.3406325133 -2.4843795653 -8.8503165518
35.960000 0.0022564004 0.0022989669 -0.0050587357 4.3693576590 -2.5804313854 -8.7989964717
35.970000 0.0005024360 -0.0043235248 -0.0021335090 4.2882475695 -2.5365817230 -8.8736748762
35.980000 -0.0069319430 0.0095747536 0.0137068345 4.3837844588 -2.4685840367 -8.9048101507
35.990000 0.0058387596 0.0136012072 -0.0066841459 4.3377037140 -2.3831228817 -8.8372504828
36.000000 0.0051450759 -0.0106818910 -0.0078265324 3.4276444395 -2.3441811902 -8.8050594586
36.010000 0.0232766344 -0.0057701259 0.0011078014 3.2841882701 -2.2077393212 -8.6709976451
36.020000 0.0090533077 -0.0132626718 0.0125233559 3.2788049440 -2.1008615308 -8.6232586672
36.030000 0.0062387773 -0.0155455557 0.0141314481 3.2479082678 -1.9319251872 -8.4575095000
36.040000 0.0140133779 -0.0134187775 0.0204137006 3.2851667090 -1.7939134118 -8.5388744192
36.050000 0.0306448414 -0.0200651587 0.0187724097 3.2166253369 -1.7467873516 -8.2408208102
36.060000 0.0233651287 -0.0294421720 0.0387832625 3.1624826519 -1.6253857428 -8.2199004698
36.070000 0.0292156400 -0.0311694697 0.0412946971 3.1689328057 -1.4641853283 -8.1024985121
36.080000 0.0295843470 -0.0327357974 0.0501995087 3.1898099827 -1.3136644954 -8.0345554351
36.090000 0.0525734450 -0.0388041636 0.0616889885 3.2766770606 -1.1867536729 -8.0076258105
36.100000 0.0357280778 -0.0353028141 0.0571644058 3.1294036563 -0.9877373762 -7.8876974511
36.110000 0.0362561132 -0.0437887255 0.0786793085 3.1991860668 -0.8574343166 -7.7140033168
36.120000 0.0385879121 -0.0666092995 0.0668654654 3.0380073052 -0.7496007306 -7.6866611864
36.130000 0.0402797002 -0.0704317949 0.0677437943 3.1536066248 -0.5873726263 -7.6988420014
36.140000 0.0419684898 -0.0469398311 0.0743233220 3.1023903158 -0.4869780767 -7.5250782758
36.150000 0.0307076013 -0.0559119320 0.0885900980 2.9941399752 -0.2652726785 -7.3709516305
36.160000 0.0452278574 -0.0827381005 0.0962395967 2.9724587578 -0.2082427059 -7.3396222544
36.170000 0.0414451398 -0.0654990852 0.1027708795 2.9539657406 -0.0194491658 -7.2719003568
36.180000 0.0513345305 -0.0606756959 0.1089477454 3.0320016101 0.1876865087 -7.1872510041
36.190000 0.0462396527 -0.0934812394 0.1254807016 2.8219963476 0.2693549032 -7.1725604849
36.200000 0.0295093994 -0.0688307190 0.1081095070 2.9061878065 0.4052923427 -7.1554233375
36.210000 0.0396595991 -0.0705564116 0.1235558485 2.9668330723 0.5214872510 -7.0707055467
36.220000 0.0438069616 -0.0656272242 0.1334403602 2.9191527839 0.6614698826 -7.0120747503
36.230000 0.0415593312 -0.0768345383 0.1339312814 2.8494117672 0.7869103733 -7.0146412666
36.240000 0.0364350667 -0.0888653859 0.1392044232 2.8463260073 0.9164072121 -7.0359736651
36.250000 0.0409621021 -0.0697534705 0.1271798113 2.8671686036 0.9964303847 -7.0234133414
36.260000 0.0386191716 -0.0796192415 0.1581888267 2.8450868974 1.2111323362 -7.1175432551
36.270000 0.0245592310 -0.0597795471 0.1598585409 2.8198959618 1.2000522884 -7.0355074584
36.280000 0.0315918701 -0.0791851553 0.1564763929 2.7923889484 1.4886723827 -7.0400206196
36.290000 0.0349149624 -0.0592513557 0.1636832660 2.7475826394 1.5296882561 -7.0414545255
36.300000 0.0388749127 -0.0634459769 0.1664137818 2.8378548343 1.7005543387 -7.0742321963
36.310000 0.0320087127 -0.0816164542 0.1767349777 2.7608835363 1.7568425942 -7.0767516670
36.320000 0.0321079541 -0.0665333660 0.1814607321 2.8279126290 1.8927422973 -7.0610793104
36.330000 0.0300055285 -0.0523881783 0.1769570380 2.7105499465 2.0006827638 -7.0830435858
36.340000 0.0092664443 -0.0721444602 0.1768906167 2.8106551488 2.1501112714 -7.1319905769
36.350000 0.0142110179 -0.0569013230 0.1851899214 2.7525919658 2.3656656070 -7.2729687587
36.360000 0.0153221484 -0.0592213735 0.1920158144 2.7319598624 2.4270902121 -7.1383778329
36.370000 0.0140713364 -0.0732337932 0.2034563583 2.7531867266 2.5594431398 -7.3239801787
36.380000 0.0172748720 -0.0613708053 0.1890256650 2.7359810637 2.6436396611 -7.2912897947
36.390000 0.0124556404 -0.0644731227 0.2207031861 2.6962385286 2.8193010024 -7.3601686430
36.400000 0.0031923392 -0.0557191446 0.2095385963 2.7921435238 2.9566628166 -7.4120970843
36.410000 0.0111471394 -0.0418191280 0.2292973109 2.7461048204 3.0355193120 -7.5040683602
36.420000 -0.0021773595 -0.0536435898 0.2249003942 2.7438474255 3.1588107632 -7.5420923896
36.430000 0.0132986903 -0.0584052162 0.2265373618 2.7158722303 3.2573256760 -7.4890551175
