# 参考真值数据
# timestamp pos_x pos_y pos_z vel_x vel_y vel_z roll pitch yaw
# 单位: s, m, m, m, m/s, m/s, m/s, rad, rad, rad
201.610000 -2706993.239405 4689439.780193 3359842.112896 25.880324 21.710141 -2.693490 46.1655266563 0.5765272867 -0.5470879280
201.620000 -2706992.980602 4689439.997294 3359842.085961 25.896794 21.707986 -2.681905 46.1594084507 0.5735009188 -0.5442160963
201.630000 -2706992.721634 4689440.214374 3359842.059142 25.913252 21.705839 -2.670327 46.1533223615 0.5704904373 -0.5413593398
201.640000 -2706992.462501 4689440.431432 3359842.032439 25.929697 21.703700 -2.658758 46.1472682200 0.5674957586 -0.5385175792
201.650000 -2706992.203204 4689440.648469 3359842.005851 25.946130 21.701571 -2.647197 46.1412458586 0.5645168000 -0.5356907358
201.660000 -2706991.943743 4689440.865485 3359841.979379 25.962551 21.699450 -2.635644 46.1352551103 0.5615534788 -0.5328787315
201.670000 -2706991.684118 4689441.082480 3359841.953023 25.978960 21.697337 -2.624099 46.1292958094 0.5586057130 -0.5300814882
201.680000 -2706991.424328 4689441.299453 3359841.926782 25.995356 21.695234 -2.612562 46.1233677906 0.5556734209 -0.5272989285
201.690000 -2706991.164374 4689441.516405 3359841.900656 26.011741 21.693139 -2.601033 46.1174708898 0.5527565214 -0.5245309753
201.700000 -2706990.904257 4689441.733337 3359841.874646 26.028113 21.691052 -2.589512 46.1116049437 0.5498549335 -0.5217775519
201.710000 -2706990.643976 4689441.950247 3359841.848751 26.044474 21.688974 -2.577999 46.1057697896 0.5469685769 -0.5190385821
201.720000 -2706990.383531 4689442.167137 3359841.822971 26.060822 21.686905 -2.566494 46.0999652661 0.5440973717 -0.5163139900
201.730000 -2706990.122923 4689442.384006 3359841.797306 26.077159 21.684844 -2.554997 46.0941912123 0.5412412384 -0.5136037001
201.740000 -2706989.862151 4689442.600855 3359841.771756 26.093484 21.682791 -2.543508 46.0884474683 0.5384000977 -0.5109076373
201.750000 -2706989.601216 4689442.817682 3359841.746321 26.109798 21.680747 -2.532026 46.0827338750 0.5355738711 -0.5082257270
201.760000 -2706989.340118 4689443.034490 3359841.721000 26.126100 21.678712 -2.520552 46.0770502740 0.5327624802 -0.5055578949
201.770000 -2706989.078857 4689443.251277 3359841.695795 26.142390 21.676684 -2.509086 46.0713965080 0.5299658472 -0.5029040670
201.780000 -2706988.817434 4689443.468044 3359841.670704 26.158669 21.674665 -2.497628 46.0657724204 0.5271838945 -0.5002641699
201.790000 -2706988.555847 4689443.684791 3359841.645728 26.174936 21.672655 -2.486177 46.0601778553 0.5244165451 -0.4976381304
201.800000 -2706988.294098 4689443.901517 3359841.620866 26.191192 21.670652 -2.474733 46.0546126578 0.5216637224 -0.4950258758
201.810000 -2706988.032186 4689444.118224 3359841.596119 26.207437 21.668658 -2.463298 46.0490766737 0.5189253502 -0.4924273337
201.820000 -2706987.770111 4689444.334910 3359841.571486 26.223670 21.666672 -2.451869 46.0435697497 0.5162013524 -0.4898424322
201.830000 -2706987.507875 4689444.551577 3359841.546967 26.239892 21.664694 -2.440448 46.0380917332 0.5134916538 -0.4872710996
201.840000 -2706987.245476 4689444.768224 3359841.522562 26.256103 21.662724 -2.429035 46.0326424725 0.5107961792 -0.4847132647
201.850000 -2706986.982915 4689444.984851 3359841.498272 26.272303 21.660763 -2.417629 46.0272218166 0.5081148540 -0.4821688567
201.860000 -2706986.720192 4689445.201459 3359841.474096 26.288492 21.658809 -2.406230 46.0218296154 0.5054476039 -0.4796378050
201.870000 -2706986.457307 4689445.418047 3359841.450033 26.304671 21.656864 -2.394839 46.0164657195 0.5027943549 -0.4771200396
201.880000 -2706986.194260 4689445.634615 3359841.426085 26.320838 21.654926 -2.383454 46.0111299804 0.5001550337 -0.4746154907
201.890000 -2706985.931052 4689445.851165 3359841.402251 26.336994 21.652997 -2.372077 46.0058222501 0.4975295671 -0.4721240890
201.900000 -2706985.667682 4689446.067695 3359841.378530 26.353140 21.651076 -2.360708 46.0005423818 0.4949178824 -0.4696457654
201.910000 -2706985.404150 4689446.284205 3359841.354923 26.369275 21.649162 -2.349345 45.9952902291 0.4923199072 -0.4671804513
201.920000 -2706985.140457 4689446.500697 3359841.331429 26.385399 21.647257 -2.337989 45.9900656466 0.4897355696 -0.4647280783
201.930000 -2706984.876603 4689446.717170 3359841.308049 26.401513 21.645359 -2.326641 45.9848684895 0.4871647980 -0.4622885786
201.940000 -2706984.612588 4689446.933623 3359841.284783 26.417616 21.643469 -2.315300 45.9796986139 0.4846075211 -0.4598618846
201.950000 -2706984.348412 4689447.150058 3359841.261630 26.433709 21.641587 -2.303965 45.9745558765 0.4820636681 -0.4574479291
